sampleid,DATE,TARGET_TAXON,TOTAL
sample_134,11/24/2023,LEITOSCOLOPLOS ROBUSTUS,15
sample_115,11/24/2023,AMERICOROPHIUM BREVIS,23
sample_126,11/24/2023,ACANTHOCHITONA PYGMAEA,47
sample_171,11/24/2023,PETALOSARSIA DECLIVIS,6
sample_33,11/24/2023,TRYPANOSYLLIS ,11
sample_90,11/24/2023,EURYLANA COOKI,18
sample_58,11/24/2023,DIPOLYDORA SOCIALIS,12
sample_89,11/24/2023,UNCIOLELLA ,52
sample_64,12/17/2023,PAROUGIA CAECA,15
sample_167,12/17/2023,HYDROIDES DIANTHUS,21
sample_148,12/17/2023,KELLIOPSIS ELEVATA,20
sample_45,12/17/2023,ONUPHIS,11
sample_77,12/17/2023,TRYPANOSYLLIS,33
sample_196,12/17/2023,GLYCERA AMERICANA,24
sample_127,12/17/2023,THYASIRA,4
sample_5,12/17/2023,CHAETOPTERUS VARIOPEDATUS,19
sample_194,12/17/2023,CALLIANASSA,9
sample_38,12/17/2023,UNCIOLA SERRATA,5
sample_133,12/17/2023,SOLAMEN GLANDULA,79
sample_45,12/17/2023,MICRODEUTOPUS ANOMALUS,2
sample_171,12/17/2023,SCOLETOMA FRAGILIS,25
sample_24,12/17/2023,DORVILLEIDAE,4
sample_153,12/17/2023,ASYCHIS,25
sample_59,12/17/2023,THELEPUS SETOSUS,21
sample_51,12/17/2023,RHEPOXYNIUS,30
sample_195,12/17/2023,CARAZZIELLA HOBSONAE,67
sample_40,12/17/2023,LEITOSCOLOPLOS FRAGILIS,17
sample_195,12/17/2023,NEPHASOMA (NEPHASOMA) PELLUCIDUM,54
sample_159,12/17/2023,ANGULUS AGILIS,1
sample_41,12/17/2023,PYROMAIA TUBERCULATA,4
sample_85,12/17/2023,HESIONIDAE,68
sample_145,12/17/2023,LAEONEREIS CULVERI,4
sample_63,12/17/2023,PHERUSA AFFINIS,6
sample_17,12/17/2023,LIMNODRILUS,10
sample_78,12/17/2023,GALATHOWENIA,2
sample_12,12/17/2023,NEREIS ZONATA,7
sample_104,12/17/2023,FABRICIIDAE,20
sample_16,12/17/2023,LIMNODRILUS CLAPAREDIANUS,58
sample_98,12/17/2023,NEANTHES ACUMINATA,0
sample_12,12/17/2023,FARGOA GIBBOSA,5
sample_95,12/17/2023,EULIMASTOMA ENGONIUM,26
sample_13,12/17/2023,TURBONILLA,2
sample_90,12/17/2023,ALIGENA ELEVATA,75
sample_142,12/17/2023,TEREBELLIDAE,7
sample_187,12/17/2023,POLYNOINAE,0
sample_148,12/17/2023,CAECUM ORCUTTI,17
sample_24,12/17/2023,ANCISTROSYLLIS COMMENSALIS,4
sample_138,12/17/2023,GONEPLACOIDEA,30
sample_126,12/17/2023,ALIA PERMODESTA,23
sample_175,1/12/2023,TUBIFICOIDES PARAPECTINATUS,372
sample_178,1/12/2023,TETRASTEMMA,69
sample_29,1/12/2023,PSEUDOPOLYDORA ANTENNATA,63
sample_38,1/12/2023,DEVONIA PERRIERI,91
sample_17,1/12/2023,PARIAMBUS TYPICUS,231
sample_18,1/12/2023,MEGASYLLIS NIPPONICA,104
sample_37,4/18/2023,ALITTA SUCCINEA,3
sample_169,4/18/2023,POLYDORA AGGREGATA,22
sample_53,4/18/2023,PARATANAIDAE,39
sample_166,4/18/2023,GAMMAROPSIS MACULATA,2
sample_168,4/18/2023,HYALINOECIA ,15
sample_155,4/18/2023,OVALIPES OCELLATUS,11
sample_1,4/18/2023,LYSIDICE HEBES,33
sample_151,4/18/2023,CERAPUS SLAYERI,3
sample_2,4/18/2023,MACROCLYMENE SANTANDARENSIS,13
sample_181,4/18/2023,APHELOCHAETA MARIONI,26
sample_163,4/18/2023,PERKINSIANA FONTICULA,13
sample_137,4/18/2023,BIFFARIUS BIFORMIS,19
sample_140,4/18/2023,PHYLLOPHORIDAE,4
sample_187,4/18/2023,PLATYHELMINTHES,0
sample_49,4/18/2023,SCLEROPLAX SCHMITTI,28
sample_64,4/18/2023,LEUCON ,19
sample_79,4/18/2023,PARANEMERTES,0
sample_104,4/18/2023,CLINOTANYPUS PINGUIS,9
sample_15,4/18/2023,SCHWARTZIELLA,34
sample_129,4/18/2023,TROCHOCHAETA MULTISETOSA,16
sample_165,4/18/2023,MARGINELLIDAE,46
sample_146,4/18/2023,SPHAERODORIDAE,13
sample_4,4/18/2023,DIASTYLIS BIDENTATA,9
sample_40,4/18/2023,LEPTOCHELA (LEPTOCHELA) SERRATORBITA,61
sample_158,4/18/2023,PHORONOPSIS,28
sample_150,4/18/2023,URECHIS NOVAEZEALANDIAE,30
sample_84,4/18/2023,JASMINEIRA CANDELA,9
sample_39,4/18/2023,EXOEDICEROTIDAE,3
sample_62,4/18/2023,METACARCINUS GRACILIS,1
sample_100,4/18/2023,EUMIDA SANGUINEA,16
sample_190,4/18/2023,PARAONIDAE,55
sample_196,4/18/2023,STEREOBALANUS,10
sample_126,4/18/2023,POTAMOPYRGUS ANTIPODARUM,20
sample_99,4/18/2023,PACIFACANTHOMYSIS NEPHROPHTHALMA,20
sample_93,4/18/2023,POLYODONTES LUPINUS,54
sample_152,4/18/2023,PRIAPULIDAE,5
sample_23,4/18/2023,UROTHOE ELIZAE,25
sample_195,4/18/2023,LEPIDONOTUS SUBLEVIS,0
sample_116,4/18/2023,NOTOMASTUS MAGNUS,30
sample_60,4/18/2023,AMPELISCIDAE,12
sample_14,4/18/2023,NUCULANA,18
sample_91,4/18/2023,LYSIPPE LABIATA,3
sample_177,4/18/2023,COLOMASTIX HALICHONDRIAE,33
sample_191,4/18/2023,KELLIOPSIS ELEVATA,11
sample_91,4/18/2023,SOLENIDAE,17
sample_29,4/18/2023,CHAETOZONE HEDGPETHI,15
sample_122,4/18/2023,PARALEPIDONOTUS AMPULLIFERUS,10
sample_181,4/18/2023,EUPOLYMNIA HETEROBRANCHIA,21
sample_99,4/18/2023,ETEONE ,13
sample_22,4/18/2023,CHIRIDOTEA ALMYRA,8
sample_53,4/18/2023,TRYPHOSITES LONGIPES,9
sample_24,4/18/2023,SCYPHOPROCTUS PLATYPROCTUS,9
sample_59,4/18/2023,PARVIPLANA HYMANI,26
sample_47,4/18/2023,CAPITELLIDES JONESI,3
sample_16,4/18/2023,TEREBELLIDES LANAI,3
sample_158,12/15/2023,SIGALION,3
sample_139,12/15/2023,EDOTIA SP.,1
sample_57,12/15/2023,AMPHIURIDAE,6
sample_198,12/15/2023,BYBLIS MINUTICORNIS,0
sample_53,12/15/2023,MONOCOROPHIUM SEXTONAE,11
sample_45,12/15/2023,GATTYANA CIRRHOSA,1
sample_182,12/15/2023,OPHRYOTROCHA,1
sample_55,12/15/2023,ABRA AEQUALIS,3
sample_146,12/15/2023,TANAISSUS PSAMMOPHILUS,2
sample_84,12/15/2023,CIRRIFORMIA,0
sample_146,12/15/2023,PHORONIS,10
sample_85,12/15/2023,TRICHOBRANCHIDAE,3
sample_163,12/15/2023,BRADA VILLOSA,7
sample_183,12/15/2023,SYNAPTIDAE,4
sample_58,12/15/2023,CHIRIDOTEA,10
sample_64,12/15/2023,MACROCHAETA CLAVICORNIS,3
sample_98,12/15/2023,EDWARDSIIDAE,20
sample_70,12/15/2023,CAPITELLIDES JONESI,9
sample_33,12/15/2023,ANCISTROSYLLIS JONESI,20
sample_27,12/15/2023,SPIONIDAE,14
sample_64,12/15/2023,PIGUETIELLA BLANCI,1
sample_196,12/15/2023,AMPHARETINAE,4
sample_156,12/15/2023,APISTOBRANCHUS,9
sample_196,12/15/2023,HARMOTHOE IMBRICATA,12
sample_160,12/15/2023,POLYCIRRUS EXIMIUS,8
sample_182,12/15/2023,SABACO,6
sample_88,12/15/2023,ECHIURA,9
sample_52,12/15/2023,CALLISTA,6
sample_167,12/15/2023,PHRONTIS TIARULA,2
sample_131,12/15/2023,LANICE CONCHILEGA,6
sample_178,12/15/2023,OPHELIA BICORNIS,22
sample_195,12/15/2023,NOTHRIA CONCHYLEGA,2
sample_147,12/15/2023,SOLARIELLIDAE,22
sample_129,12/15/2023,TROCHOCHAETA WATSONI,4
sample_145,12/15/2023,NEPTUNEA ANTIQUA,15
sample_80,12/15/2023,HERMUNDURA VIVIANNEAE,11
sample_200,12/15/2023,LUMBRINERIS LUTI,4
sample_161,12/15/2023,HALICARCINUS COOKII,5
sample_164,12/15/2023,GAMMARUS,1
sample_99,12/15/2023,CYLICHNA ATTONSA,10
sample_35,12/15/2023,RHODINE,11
sample_132,12/15/2023,ATYS,6
sample_154,12/15/2023,WESTWOODILLA TONE,1
sample_186,12/15/2023,PHERUSA PLUMOSA,8
sample_131,12/15/2023,TELMESSUS CHEIRAGONUS,1
sample_129,12/15/2023,SALVATORIA MEDIODENTATA,1
sample_50,12/15/2023,ANOPLODACTYLUS,9
sample_194,12/15/2023,ARICIDEA (ARICIDEA) FRAGILIS,4
sample_42,12/15/2023,NOTOTROPIS FALCATUS,4
sample_43,12/15/2023,ASTARTE UNDATA,5
sample_113,12/15/2023,DEXAMINE,3
sample_38,12/15/2023,ELYSIA,1
sample_115,12/15/2023,PINNIXA RETINENS,8
sample_128,12/15/2023,EOHAUSTORIUS SAWYERI,15
sample_114,12/15/2023,GONEPLAX RHOMBOIDES,8
sample_42,7/29/2023,ARCTICA ISLANDICA,4
sample_125,7/29/2023,MAGELONA ROSEA,14
sample_99,7/29/2023,CHAETOZONE GIBBER,43
sample_98,7/29/2023,AXINOPSIDA SERRICATA,17
sample_182,7/29/2023,PALEONEMERTEA,40
sample_95,7/29/2023,TUBIFICOIDES AMPLIVASATUS,74
sample_17,7/29/2023,GOODALLIA TRIANGULARIS,7
sample_4,7/29/2023,MALMGRENIELLA LIEI,28
sample_101,7/29/2023,EUTHELEPUS ,2
sample_78,7/29/2023,MIXTOSCUTELLA OVATA,29
sample_65,7/29/2023,HELOBDELLA STAGNALIS,33
sample_169,7/29/2023,NEOMEGAMPHOPUS KALANII,27
sample_176,7/29/2023,EPIALTUS DILATATUS,20
sample_131,7/29/2023,BODOTRIA SCORPIOIDES,1
sample_120,7/29/2023,POLITOLANA POLITA,28
sample_50,7/29/2023,PIROMIS HOSPITIS,17
sample_135,7/29/2023,ARICIDEA (STRELZOVIA) SUECICA,7
sample_171,7/29/2023,THEORA LUBRICA,12
sample_128,7/29/2023,PRIONOSPIO JUBATA,40
sample_185,7/29/2023,AXIOTHELLA CATENATA,20
sample_156,7/29/2023,CHIRONOMINI,77
sample_106,7/29/2023,LITOCORSA EWINGI,7
sample_76,7/29/2023,MACTRIDAE,0
sample_31,7/29/2023,AMPHIPORUS ANGULATUS,25
sample_115,7/29/2023,LIMNODRILUS HOFFMEISTERI,4
sample_52,7/29/2023,SAGITTOIDEA,69
sample_55,7/29/2023,COSSURA PYGODACTYLATA,38
sample_14,7/29/2023,PODOCERIDAE,2
sample_139,7/29/2023,EBALIA CARIOSA,6
sample_12,7/29/2023,LEPIDOZONA INTERSTINCTA,23
sample_13,7/29/2023,NOTOACMEA ELONGATA,39
sample_85,7/29/2023,ASCLEROCHEILUS INTERMEDIUS,19
sample_200,7/29/2023,STREBLOSOMA BAIRDI,5
sample_176,7/29/2023,EUCLYMENE COLLARIS,29
sample_123,7/29/2023,REXITHAERUS INDENTATA,12
sample_64,7/29/2023,NICOMACHE PERSONATA,7
sample_144,7/29/2023,OPHELINA ACUMINATA,2
sample_151,7/29/2023,SYLLIDAE,11
sample_145,7/29/2023,DOSINIA MAORIANA,6
sample_162,7/29/2023,ENIPO KINBERGI,6
sample_98,2/16/2023,COLUMBELLIDAE,2
sample_36,2/16/2023,BARANTOLLA,39
sample_179,2/16/2023,MONTICELLINA BAPTISTEAE,6
sample_174,2/16/2023,ASTYRIS LUNATA,26
sample_151,2/16/2023,HYPERETEONE,2
sample_84,2/16/2023,SOLAMEN GLANDULA,15
sample_162,2/16/2023,SABELLIDAE,2
sample_38,2/16/2023,ERICTHONIUS PUNCTATUS,69
sample_181,2/16/2023,APHELOCHAETA MARIONI,11
